url,protocol,domain,subdomain,tld,fld,path,havingIP,http,longurl,atinurl,slash,hypen,dots,phishterm,shorten,httpinpath,phishtld,phishing
http://Benign875Benign8.com/,http,Benign875Benign8.com,,com,benign875benign8.com,/,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
http://Malicious3.75.43.83/,http,Malicious3.75.43.83,0,0,0,/,1,1,-1,-1,-1,-1,0,-1,-1,-1,0,1
http://Malicious84.7Malicious.Malicious9Benign.2Benign6:8Benign8/Malicious/www.bn.com.pe/,http,Malicious84.7Malicious.Malicious9Benign.2Benign6:8Benign8,0,0,0,/Malicious/www.bn.com.pe/,-1,1,1,-1,-1,-1,0,-1,-1,-1,0,1
http://34.Malicious99.8.Malicious44/,http,34.Malicious99.8.Malicious44,0,0,0,/,-1,1,-1,-1,-1,-1,0,-1,-1,-1,0,1
http://34.228.2.Malicious36/Malicious.php,http,34.228.2.Malicious36,0,0,0,/Malicious.php,-1,1,-1,-1,-1,-1,0,-1,-1,-1,0,1
http://3iview.com/techno.php?q=legal-information...,http,3iview.com,,com,3iview.com,/techno.php,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
http://6MaliciousMalicious2-webtechpro.xyz/german-micro,http,6MaliciousMalicious2-webtechpro.xyz,,xyz,6maliciousmalicious2-webtechpro.xyz,/german-micro,-1,1,0,-1,-1,1,-1,-1,-1,-1,-1,1
http://67.2MaliciousBenign.Malicious22.222/~deen/file%2Benign/hs/Validation/login.php...,http,67.2MaliciousBenign.Malicious22.222,0,0,0,/~deen/file%2Benign/hs/Validation/login.php...,-1,1,1,-1,-1,-1,0,1,-1,-1,0,1
http://82.Malicious65.229.Malicious38/,http,82.Malicious65.229.Malicious38,0,0,0,/,-1,1,-1,-1,-1,-1,0,-1,-1,-1,0,1
http://85.2Malicious4.Malicious2Malicious.62/,http,85.2Malicious4.Malicious2Malicious.62,0,0,0,/,-1,1,-1,-1,-1,-1,0,-1,-1,-1,0,1
http://aabawaria.pl/docx/drop/newshared/files/rename/file/index.php...,http,aabawaria.pl,,pl,aabawaria.pl,/docx/drop/newshared/files/rename/file/index.php...,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1
http://aardvarkresearchgroup.com/free-dd2Malicious4/,http,aardvarkresearchgroup.com,,com,aardvarkresearchgroup.com,/free-dd2Malicious4/,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
http://abgsites.com.br/clientes/ale/empresa.php.htm...,http,abgsites.com.br,,com.br,abgsites.com.br,/clientes/ale/empresa.php.htm...,-1,1,0,-1,-1,-1,-1,-1,-1,-1,1,1
http://account.signinupdate.support/webapps/38Maliciousb9/...,http,account.signinupdate.support,account,support,signinupdate.support,/webapps/38Maliciousb9/...,-1,1,0,-1,-1,-1,-1,1,-1,-1,-1,1
